Model,Validation Accuracy Mean,Validation Accuracy Std,Validation AUC Mean,Test Accuracy,Test Precision,Test Recall,Test F1,Test AUC
Logistic Regression,0.8656509195816804,0.012740985026324246,0.8066802138402458,0.8673469387755102,0.7,0.2978723404255319,0.417910447761194,0.8072185373417177
Random Forest,0.8528885683375405,0.00837973493347301,0.7678063024042185,0.8707482993197279,1.0,0.19148936170212766,0.32142857142857145,0.7947282280988889
XGBoost,0.8596970789758386,0.002501945883392572,0.7602221790439797,0.8741496598639455,0.75,0.3191489361702128,0.44776119402985076,0.7865449220432422
